name,category,description
Material Plane,Material Realms,"Most D&D adventures take place on the Material Plane, which holds the worlds of settings lik e Dragonlance, Eberr on, the F orgotten Realms, and Gr eyhawk. There’s also r oom for any world your gr oup creates. Magic and physical laws shape this plane ’s div erse worlds."
Feywild,Material Realms,"This vibr ant, idealiz ed realm brims with lif e and emotion, which are most intense in the r ealm ’s Domains of Delight."
Shadowfell,Material Realms,"This gloom-haunted r ealm holds grim wastelands, haunted ruins, and the infamous Domains of Dr ead."
Astral Plane,Transitive Planes,"This endless, silv ery expanse links the Material Plane and the Outer Planes. Whole civilizations have arisen in this glimmering v astness, while others na vigate the magical cosmos in spelljamming v essels."
Ethereal Plane,Transitive Planes,"This ghostly r ealm connects the Material Plane and the Inner Planes. The r egion wher e the Ethereal Plane o verlaps with other planes is called the Bor der Ethereal, a place wher e creatures can glimpse visions of planes beyond."
Elemental Plane of Air,Inner Planes,Winds blow clouds and floating islands acr oss this boundless sky .
Elemental Plane of Earth,Inner Planes,This maz e of ca verns winds through st one and unt old miner al riches.
Elemental Plane of Fire,Inner Planes,"An e verlasting inf erno, this r ealm blaz es with lif e on v olcanic islands."
Elemental Plane of Water,Inner Planes,This bott omless ocean churns with mysterious sea lif e.
Elemental Chaos,Inner Planes,"Here on the fringes of the Inner Planes, elemental for ces clash unpr edictably ."
Para-Elemental Planes,Inner Planes,"In these bor derlands between the Elemental Planes, elemental for ces combine into realms of ash, ice, magma, and oo ze."
Sigil,Outer Planes,"Sigil, the City of Doors, is a metr opolis r ather than a plane at the center of the Outer Planes. Her e por tals lead throughout the multiv erse, and the enigmatic Lady of P ain maintains or der."
Outlands,Outer Planes,"Influences from the other Outer Planes conv erge in the Outlands, wher e por tals lead to those planes. A t the Outlands’ center rises the Spir e, a pillar at op which floats Sigil."
