subclass_id,level,spells,source,version
SUB_CLERIC_LIFE,3,"Aid, Bless, Cure Wounds, Lesser Restoration",PHB (2024),2024
SUB_CLERIC_LIFE,5,"Mass Healing Word, Revivify",PHB (2024),2024
SUB_CLERIC_LIFE,7,"Aura of Life, Death Ward",PHB (2024),2024
SUB_CLERIC_LIFE,9,"Greater Restoration, Mass Cure Wounds",PHB (2024),2024
SUB_CLERIC_LIGHT,3,"Burning Hands, Faerie Fire, Scorching Ray, See Invisibility",PHB (2024),2024
SUB_CLERIC_LIGHT,5,"Daylight, Fireball",PHB (2024),2024
SUB_CLERIC_LIGHT,7,"Arcane Eye, Wall of Fire",PHB (2024),2024
SUB_CLERIC_LIGHT,9,"Flame Strike, Scrying",PHB (2024),2024
SUB_CLERIC_TRICKERY,3,"Charm Person, Disguise Self, Invisibility, Pass without Trace",PHB (2024),2024
SUB_CLERIC_TRICKERY,5,"Hypnotic Pattern, Nondetection",PHB (2024),2024
SUB_CLERIC_TRICKERY,7,"Confusion, Dimension Door",PHB (2024),2024
SUB_CLERIC_TRICKERY,9,"Dominate Person, Modify Memory",PHB (2024),2024
SUB_CLERIC_WAR,3,"Guiding Bolt, Magic Weapon, Shield of Faith, Spiritual Weapon",PHB (2024),2024
SUB_CLERIC_WAR,5,"Crusader's Mantle, Spirit Guardians",PHB (2024),2024
SUB_CLERIC_WAR,7,"Fire Shield, Freedom of Movement",PHB (2024),2024
SUB_CLERIC_WAR,9,"Hold Monster, Steel Wind Strike",PHB (2024),2024
SUB_PALADIN_DEVOTION,3,"Protection from Evil and Good, Shield of Faith",PHB (2024),2024
SUB_PALADIN_DEVOTION,5,"Aid, Zone of Truth",PHB (2024),2024
SUB_PALADIN_DEVOTION,9,"Beacon of Hope, Dispel Magic",PHB (2024),2024
SUB_PALADIN_DEVOTION,13,"Freedom of Movement, Guardian of Faith",PHB (2024),2024
SUB_PALADIN_DEVOTION,17,"Commune, Flame Strike",PHB (2024),2024
SUB_PALADIN_GLORY,3,"Guiding Bolt, Heroism",PHB (2024),2024
SUB_PALADIN_GLORY,5,"Enhance Ability, Magic Weapon",PHB (2024),2024
SUB_PALADIN_GLORY,9,"Haste, Protection from Energy",PHB (2024),2024
SUB_PALADIN_GLORY,13,"Compulsion, Freedom of Movement",PHB (2024),2024
SUB_PALADIN_GLORY,17,"Legend Lore, Yolande's Regal Presence",PHB (2024),2024
SUB_PALADIN_ANCIENTS,3,"Ensnaring Strike, Speak with Animals",PHB (2024),2024
SUB_PALADIN_ANCIENTS,5,"Misty Step, Moonbeam",PHB (2024),2024
SUB_PALADIN_ANCIENTS,9,"Plant Growth, Protection from Energy",PHB (2024),2024
SUB_PALADIN_ANCIENTS,13,"Ice Storm, Stoneskin",PHB (2024),2024
SUB_PALADIN_ANCIENTS,17,"Commune with Nature, Tree Stride",PHB (2024),2024
SUB_PALADIN_VENGEANCE,3,"Bane, Hunter's Mark",PHB (2024),2024
SUB_PALADIN_VENGEANCE,5,"Hold Person, Misty Step",PHB (2024),2024
SUB_PALADIN_VENGEANCE,9,"Haste, Protection from Energy",PHB (2024),2024
SUB_PALADIN_VENGEANCE,13,"Banishment, Dimension Door",PHB (2024),2024
SUB_PALADIN_VENGEANCE,17,"Hold Monster, Scrying",PHB (2024),2024
SUB_SORCERER_DRACONIC,3,"Alter Self, Chromatic Orb, Command, Dragon's Breath",PHB (2024),2024
SUB_SORCERER_DRACONIC,5,"Fear, Fly",PHB (2024),2024
SUB_SORCERER_DRACONIC,7,"Arcane Eye, Charm Monster",PHB (2024),2024
