class,likes,primary_ability,complexity,source,version
Barbarian,Battle,Strength,Average,PHB (2024),2024
Bard,Performing,Charisma,High,PHB (2024),2024
Cleric,Gods,Wisdom,Average,PHB (2024),2024
Druid,Nature,Wisdom,High,PHB (2024),2024
Fighter,Weapons,Strength or Dexterity,Low,PHB (2024),2024
Monk,Unarmed combat,Dexterity and Wisdom,High,PHB (2024),2024
Paladin,Defense,Strength and Charisma,Average,PHB (2024),2024
Ranger,Survival,Dexterity and Wisdom,Average,PHB (2024),2024
Rogue,Stealth,Dexterity,Low,PHB (2024),2024
Sorcerer,Power,Charisma,High,PHB (2024),2024
Warlock,Occult lore,Charisma,High,PHB (2024),2024
Wizard,Spellbooks,Intelligence,Average,PHB (2024),2024
